"bathrooms","bedrooms","latitude","livingArea","longitude","priceForHDP","taxAssessedValue","zipcode","priceinmil","lotArea"
2,4,29.57812,2253,-95.23194,225000,223335,77089,0.225,7.81902
3,3,30.471313,4558,-88.63928,250000,293626,39553,0.25,64.0332
1,3,31.337584,1105,-89.26472,80000,42390,39465,0.08,1.307
2,4,30.400162,1654,-89.34475,275000,134942,39525,0.275,9.5832
3,2,34.096687,1248,-81.22024,185000,127000,29212,0.185,1.7424
1,3,29.859964,1540,-95.14126,375000,135510,77049,0.375,49.436244
2,3,44.594444,1608,-121.16877,329900,237420,97741,0.3299,8.712
2,3,32.823795,1825,-96.77593,795000,723990,75206,0.795,8.001972
2,3,35.612694,1092,-80.42755,230000,90223,28146,0.23,40.9464
2,3,34.911175,1222,-95.76378,135000,91162,74501,0.135,15.6816
3,4,29.987387,2304,-95.59113,3e+05,291141,77070,0.3,9.600624
3,4,32.951748,3222,-96.789734,649950,625990,75248,0.64995,13.37292
3,3,34.868824,2082,-80.4599,439000,219500,28112,0.439,80.1504
2,3,48.242237,1787,-101.301384,190000,153000,58703,0.19,6.534
2,2,35.34959,1324,-94.39826,159900,111150,72903,0.1599,20.338164
3,3,35.24578,2638,-106.66454,369900,117368,87124,0.3699,11.3256
1,3,40.99038,3134,-94.738205,75000,73700,50841,0.075,7.126
4,4,35.023315,5200,-85.26125,1350000,498600,37404,1.35,28.314
2,2,35.431305,1528,-118.87177,299500,200959,93306,0.2995,593.2872
2,3,34.885605,1038,-81.03049,250000,215686,29730,0.25,7.4052
2,3,41.624676,1232,-71.67042,495000,313600,2817,0.495,47.916
1,2,41.434948,1022,-85.26173,135000,66200,46755,0.135,6.9696
2,3,35.516743,1384,-91.948814,210000,131920,72543,0.21,244.8072
2,2,33.718132,1550,-116.361305,387777,176371,92260,0.387777,1.742
2,3,40.566715,1280,-74.15087,599999,492000,10308,0.599999,2.5
4,4,43.29571,5866,-72.48009,239000,138200,5156,0.239,21.78
3,5,33.47224,2361,-82.08351,308900,39500,30909,0.3089,6.0984
3,4,44.053207,2131,-121.25666,519900,358800,97701,0.5199,5.227
5,7,40.59772,3075,-73.99059,1900000,480000,11214,1.9,2.804
5,7,33.969276,6100,-84.346924,899000,579800,30350,0.899,14.50548
1,3,32.437656,947,-93.76752,35000,27452,71106,0.035,6.922
4,4,34.32317,2619,-84.51148,839900,50900,30114,0.8399,112.3848
4,4,43.196255,2920,-89.46022,514900,432700,53597,0.5149,17.8596
3,4,39.769943,2292,-105.02126,1200000,216300,80211,1.2,4.905
1,3,41.284676,1396,-91.320526,294000,189830,52738,0.294,233.9172
2,3,19.548113,720,-154.90134,240000,12300,96778,0.24,12.04
1,2,43.19447,829,-71.38259,88000,26900,3234,0.088,0
2,3,35.24966,1619,-91.751915,215000,100050,72143,0.215,10.4544
2,3,42.063465,1352,-91.615036,249500,196800,52302,0.2495,8.2764
2,3,37.020294,1431,-76.36917,250000,165300,23661,0.25,10.001376
2,7,41.92179,2446,-73.07019,209900,79520,6098,0.2099,6.534
2,3,43.598564,1512,-83.87547,159000,85800,48708,0.159,3.9204
3,3,36.19946,1930,-115.30239,450000,209629,89134,0.45,3.9204
2,3,39.93357,1369,-74.20381,409900,220200,8722,0.4099,7.8408
3,4,32.754677,1935,-96.66068,189000,202650,75227,0.189,8.0586
3,4,35.067017,2799,-80.97006,485000,295607,29708,0.485,12.6324
3,6,44.056194,2924,-103.11342,439900,349600,57703,0.4399,19.602
2,3,34.989887,1661,-80.94547,340000,172996,29715,0.34,10.4544
1,2,40.503227,750,-79.83553,73737,40100,15147,0.073737,1.890504
3,3,36.852776,1716,-76.13392,299900,183100,23462,0.2999,0
1,3,46.37649,992,-120.31946,235000,85500,98948,0.235,6.0984
3,5,37.19014,2877,-94.403,349000,198930,64836,0.349,54.8856
2,4,46.813007,2136,-100.74174,274500,222100,58501,0.2745,8.40708
4,4,37.076767,2165,-113.500786,675000,85000,84780,0.675,1.3068
2,4,42.985626,1780,-85.65928,185000,127600,49505,0.185,3.9204
2,3,39.776005,1681,-104.756905,250000,338400,80249,0.25,5
2,3,42.835503,3372,-106.413,449900,327731,82604,0.4499,11.7612
2,3,34.017906,1144,-84.62329,325000,179460,30152,0.325,7.12206
2,3,29.795654,1745,-95.193535,280000,208355,77015,0.28,7.245
3,4,41.181854,2133,-96.207886,395000,289676,68136,0.395,7.36164
2,3,35.671562,1488,-80.86987,240000,80450,28166,0.24,43.56
2,2,36.022366,1134,-115.16985,310000,208383,89123,0.31,47.32794
3,4,32.907455,2377,-96.863014,699000,451090,75229,0.699,11.93544
2,3,42.02371,1855,-97.422424,157900,94685,68701,0.1579,5.85
2,4,48.259777,2526,-101.42286,624900,53000,58722,0.6249,33.5412
3,3,30.465927,1900,-90.1151,425000,127880,70433,0.425,435.6
2,3,43.613026,1645,-116.42439,384990,460500,83642,0.38499,8.712
4,4,35.13176,2860,-106.49582,365000,342508,87111,0.365,13.5036
4,5,40.597916,4316,-112.47035,529000,348261,84029,0.529,6.9696
3,2,32.83963,1356,-79.822334,415000,213000,29464,0.415,3.0492
2,4,41.5615,1718,-70.5608,749900,325800,2536,0.7499,27.4428
2,2,41.66066,1071,-70.17009,304900,164400,2670,0.3049,0
2,4,44.95214,2264,-122.97568,579900,203120,97305,0.5799,10.4544
2,3,34.74323,1018,-92.3758,138500,47050,72205,0.1385,37.026
3,3,41.595173,2266,-70.58358,1100000,411800,2536,1.1,11.7612
1,3,32.49568,1016,-93.787415,38000,18010,71109,0.038,5
4,4,47.499893,2995,-117.432014,739900,450550,99224,0.7399,219.978
3,3,38.262783,2277,-85.6332,1,322820,40207,1e-06,10.89
2,3,39.597363,2162,-119.27233,535000,408113,89408,0.535,21.78
3,5,40.01477,1879,-105.27047,1547000,953200,80302,1.547,4.356
1,3,41.29189,1224,-95.99544,169900,137600,68104,0.1699,7.36164
2,4,46.380386,2280,-95.59685,250000,213600,56571,0.25,161.172
